Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
149181,418015754,6.65965,-2.65087,5.65921,-2.30157,6.2493,-0.360437,2.00886,-1,74.8006,14.9202,-17.1339,-71.2667,22.7197,-1.86084,-0.854351,-1
149181,418265318,48.9065,-30.7492,-20.6396,-31.9428,37.0339,-0.780754,-2.55044,-1,44.6012,10.7005,18.0969,39.3353,21.0238,1.3844,1.03681,1
149181,418672814,14.8095,-12.576,-6.91974,3.64473,14.354,0.251265,-2.63857,1,22.8529,-3.46033,5.94566,21.7929,6.8793,1.87024,2.09787,-1
149181,418763702,10.2995,-1.7511,1.24863,-10.0724,2.15068,-2.24837,2.52216,-1,97.9448,9.81756,13.4112,96.5243,16.6206,2.45963,0.938889,1
149181,418101655,109.664,-22.2356,-4.97017,107.271,22.7843,2.25353,-2.92168,-1,4.08116,-1.8187,-3.46024,-1.17261,3.90908,-0.295644,-2.05471,1
149181,417670756,72.7423,-9.35832,-18.995,69.5921,21.1751,1.90535,-2.02857,-1,65.8792,10.5098,2.0854,65.002,10.7147,2.50267,0.19588,1
149181,418070676,4.68413,4.58357,0.938117,-0.227649,4.67859,-0.0486384,0.201881,-1,108.743,16.4824,-22.4114,105.125,27.8198,2.03961,-0.936676,1
149181,418357752,78.3696,4.20243,12.5555,-77.243,13.2402,-2.46411,1.24781,-1,25.5943,11.2297,1.63131,-22.9412,11.3476,-1.45329,0.144258,-1
149181,418507992,34.6263,-17.9496,-3.19179,-29.4382,18.2312,-1.25676,-2.96561,1,2.98868,2.72037,-1.18394,0.360656,2.96684,0.121265,-0.410489,1
149181,417863805,210.826,-15.0705,-26.4594,208.615,30.4503,2.62283,-2.08854,-1,7.62408,1.22063,-2.33041,-7.15583,2.63073,-1.72601,-1.0883,-1
149181,474702791,8.48044,-6.01089,2.2315,-5.55045,6.41173,-0.783132,2.78612,-1,79.4552,1.13146,14.2193,78.1643,14.2643,2.40243,1.49139,-1
149181,474674584,33.2126,-20.4989,-22.7671,-12.827,30.6356,-0.407338,-2.30382,-1,61.4637,21.3438,18.082,54.7291,27.9735,1.424,0.702853,1
149181,475555776,2.16178,-1.79465,1.09734,-0.498359,2.10355,-0.234751,2.5928,1,75.129,-15.8428,8.01385,73.001,17.7543,2.12146,2.67329,-1
149181,475049913,237.928,30.4715,21.7294,-234.966,37.4256,-2.53651,0.619467,-1,24.4973,3.09759,-11.116,-21.6092,11.5395,-1.38518,-1.29903,1
149181,474633843,9.52313,-2.55217,2.36751,-8.86404,3.48119,-1.66428,2.39371,-1,33.5748,-8.70059,-15.0807,-28.7079,17.4106,-1.27461,-2.09408,1
149181,474901739,56.0221,28.6455,-14.4499,45.925,32.0837,1.15611,-0.467193,1,3.87951,-1.2464,-2.35006,2.82388,2.66013,0.924239,-2.05844,1
149181,475247004,23.7972,-15.2835,11.8984,-13.8258,19.369,-0.663944,2.48009,-1,112.77,12.6764,-13.9056,111.189,18.8164,2.47673,-0.831605,1
149181,475320470,46.6963,9.28465,-40.7804,-20.7678,41.8239,-0.478126,-1.34694,1,2.25423,1.01915,-1.48549,-1.35507,1.80148,-0.694906,-0.969478,1
149181,476557151,7.47783,3.90577,-4.52569,4.49233,5.97804,0.694324,-0.858791,-1,128.488,-24.7094,4.82949,-125.997,25.1769,-2.31332,2.94857,-1
149181,476973023,18.2738,3.00283,17.1852,-5.4391,17.4456,-0.306933,1.39781,1,4.32989,-0.748662,3.94174,-1.62792,4.01221,-0.395362,1.75849,-1
149181,476095624,30.0663,1.03274,26.0067,15.0522,26.0272,0.550151,1.53111,-1,14.8946,-2.31772,-1.14623,-14.6685,2.58567,-2.43654,-2.68231,1
149181,476544640,57.093,-14.0731,-1.73402,-55.3042,14.1795,-2.07024,-3.019,1,44.0304,4.96155,-7.21372,-43.1512,8.75526,-2.29834,-0.96831,-1
149181,476256307,15.3705,-2.45512,-3.07319,14.8586,3.93346,2.03929,-2.24486,-1,40.2007,-2.17702,-18.4393,-35.656,18.5673,-1.40744,-1.68832,-1
149181,476985227,39.8271,-13.469,2.48102,37.3983,13.6956,1.72965,2.95943,-1,85.9812,23.9614,10.9678,81.8433,26.3522,1.85137,0.429262,1
149181,476208692,96.4021,-33.6395,-34.8689,83.3421,48.4505,1.31099,-2.33825,1,125.547,27.7193,35.0229,117.333,44.665,1.69338,0.901283,-1
149181,476516652,96.271,15.5263,-16.1279,-93.6319,22.3869,-2.13803,-0.804403,1,20.3501,-6.71308,-0.7171,-19.1975,6.75127,-1.76777,-3.03517,-1
149181,476629668,19.2042,-3.88016,-13.5019,-13.0937,14.0483,-0.832499,-1.85063,-1,19.2047,6.79681,1.4696,17.9015,6.95387,1.67449,0.212941,-1
149181,476976796,6.36464,0.195483,4.04949,-4.90633,4.0542,-1.02248,1.52256,-1,55.6893,-7.84278,7.9413,-54.5593,11.1613,-2.29029,2.34995,1
149181,476356389,138.753,-17.5459,17.3863,-136.537,24.7011,-2.41098,2.36077,-1,10.0815,-0.125874,2.58696,-9.74309,2.59002,-2.03526,1.61941,1
149181,476410198,239.383,24.275,-35.1296,235.544,42.7009,2.40894,-0.966128,-1,34.9666,-9.1425,1.93322,33.6948,9.34466,1.99438,2.93321,1
149181,588490399,22.5028,-4.76008,-1.47554,21.944,4.98354,2.18815,-2.841,-1,74.4661,3.25093,20.3075,-71.5698,20.566,-1.96021,1.41206,-1
149181,588449864,3.67241,-1.17517,2.30623,-2.60516,2.58838,-0.88595,2.04206,1,80.4528,-19.3585,5.1131,-77.9215,20.0223,-2.06811,2.88336,-1
149181,588292512,14.9085,-4.66665,2.84329,13.8709,5.46461,1.66137,2.59438,-1,106.691,-25.1905,-23.3531,101.01,34.3501,1.79949,-2.39403,-1
149181,588544872,118.341,15.2146,13.5626,116.573,20.3821,2.44457,0.728057,1,21.9612,0.955884,-3.82034,-21.6052,3.93811,-2.40359,-1.32562,-1
