#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
126	4	2	0.9639554294670292	2457067	83285.74910595133	Feb 14, 2015 11:08:05 UTC	0.9639554294670579	2.484	0.9639554294670292	0.0	0.9639554294670579	2.484	0.9639554294670435	1.237	0.9639554294704769	297.88	0.9639554294704183	292.825	-1	-1	-1	-1	
127	4	2	0.9657240318504491	2457067	83438.5563518788	Feb 14, 2015 11:10:38 UTC	0.9657240318505215	6.254	0.9657240318504491	0.0	0.9657240318505069	4.998	0.9657240318504491	0.0	-1	-1	0.9657240318537662	286.6	0.9657240318538073	290.149	-1	-1	
128	4	3	0.9703687851938231	2457067	83839.86304074632	Feb 14, 2015 11:17:19 UTC	0.9703687851938519	2.494	0.9703687851938231	0.0	0.9703687851938231	0.0	0.9703687851938375	1.247	0.9703687851967933	256.624	0.9703687851966194	241.602	0.9703687851967615	253.88	-1	-1	
129	4	2	0.9707203114543265	2457067	83870.23490965381	Feb 14, 2015 11:17:50 UTC	0.9707203114543987	6.245	0.9707203114543265	0.0	0.9707203114543987	6.245	0.9707203114543409	1.247	-1	-1	0.9707203114572530	252.854	-1	-1	0.9707203114573228	258.887	
130	4	4	0.9725383094682443	2457067	84027.3099380563	Feb 14, 2015 11:20:27 UTC	0.9725383094682731	2.494	0.9725383094682443	0.0	0.9725383094682443	0.0	0.9725383094682443	0.0	0.9725383094712436	259.146	0.9725383094711562	251.588	0.9725383094712263	257.65	0.9725383094713129	265.132	
131	4	2	0.9727805001600847	2457067	84048.23521383131	Feb 14, 2015 11:20:48 UTC	0.9727805001600847	0.0	0.9727805001601280	3.741	0.9727805001600991	1.247	0.9727805001601280	3.741	-1	-1	0.9727805001629531	247.837	-1	-1	0.9727805001631245	262.638	
132	4	2	0.9771431490577988	2457067	84425.16807859381	Feb 14, 2015 11:27:05 UTC	0.9771431490578419	3.731	0.9771431490578131	1.237	0.9771431490578131	1.237	0.9771431490577988	0.0	-1	-1	0.9771431490610721	282.82	-1	-1	0.9771431490611279	287.636	
133	4	2	0.9850998167360103	2457067	85112.62416599129	Feb 14, 2015 11:38:32 UTC	0.9850998167360251	1.276	0.9850998167360103	0.0	0.9850998167360251	1.276	0.9850998167360251	1.276	-1	-1	0.9850998167389947	257.851	-1	-1	0.9850998167389925	257.659	
134	3	2	0.9961669143900759	2457067	86068.82140330256	Feb 14, 2015 11:54:28 UTC	0.9961669143901771	8.748	0.9961669143900759	0.0	0.9961669143901339	5.017	-1	-1	0.9961669143936538	309.132	0.9961669143935522	300.355	-1	-1	-1	-1	
135	3	2	9.814495637593E-4	2457068	84.79724230880352	Feb 14, 2015 12:01:24 UTC	0.0009814495638606	8.752	0.0009814495640920	28.745	-1	-1	0.0009814495637593	0.0	0.0009814495667442	257.895	0.0009814495665990	245.35	-1	-1	-1	-1	
136	3	2	0.004562400555643	2457068	394.1914080075552	Feb 14, 2015 12:06:34 UTC	0.0045624005556864	3.75	0.0045624005556430	0.0	0.0045624005556719	2.497	-1	-1	0.0045624005591053	299.143	0.0045624005589456	285.345	-1	-1	-1	-1	
137	4	3	0.0136535880168409	2457068	1179.6700046550538	Feb 14, 2015 12:19:39 UTC	0.0136535880168843	3.75	0.0136535880168553	1.244	0.0136535880168553	1.244	0.0136535880168409	0.0	0.0136535880203466	302.893	0.0136535880202014	290.347	-1	-1	0.0136535880201991	290.149	
138	4	2	0.0161867941552523	2457068	1398.539015013799	Feb 14, 2015 12:23:18 UTC	0.0161867941552523	0.0	0.0161867941552523	0.0	0.0161867941552523	0.0	0.0161867941552523	0.0	0.0161867941586857	296.646	0.0161867941585839	287.85	-1	-1	-1	-1	
139	4	2	0.0180992362907558	2457068	1563.774015521301	Feb 14, 2015 12:26:03 UTC	0.0180992362907847	2.497	0.0180992362907558	0.0	0.0180992362907558	0.0	0.0180992362907847	2.497	0.0180992362936973	254.146	0.0180992362935666	242.853	-1	-1	-1	-1	
140	3	2	0.0221043063857066	2457068	1909.8120717250501	Feb 14, 2015 12:31:49 UTC	0.0221043063857645	5.003	0.0221043063857066	0.0	0.0221043063857355	2.497	-1	-1	0.0221043063887349	261.645	-1	-1	-1	-1	0.0221043063886742	256.401	
