Time,Altitude,Velocity
160.9,73548.5971143862,1673.58392577102
161,73657.9987482106,1672.94573174538
161.1,73764.0269058036,1672.33943393975
161.2,73868.6054413233,1671.70165302718
161.3,73973.4207847807,1671.12683484366
161.4,74078.3342389063,1670.53434362476
161.5,74184.2570598095,1669.90782202635
161.6,74293.1001001635,1669.2706929155
161.7,74403.838021041,1668.64732078762
161.8,74517.8328785054,1667.98108481884
161.9,74632.2586626216,1667.33968079952
162,74746.4405095619,1666.69543668544
162.1,74863.179930416,1666.01892781141
162.2,74983.6626910661,1665.36662817218
162.3,75100.2799984186,1664.69093313421
162.4,75217.8027164639,1664.04988347422
162.5,75332.3481936968,1663.37357546612
162.6,75448.9147696492,1662.70783591568
162.7,75568.5484680291,1662.00079692523
162.8,75688.6240808028,1661.32735538091
162.9,75805.3412846515,1660.65267135093
163,75922.8113810527,1659.97960151117
163.1,76037.5475076243,1659.2947268738
163.2,76151.7802920866,1658.62909280857
163.3,76266.1016229223,1657.95076051768
163.4,76379.9980581412,1657.31693610717
163.5,76488.6130168174,1656.67998189256
163.6,76594.4025046646,1656.05456742373
163.7,76703.3173538632,1655.41746812874
163.8,76814.0198240947,1654.79280886691
163.9,76928.2003684631,1654.15898422127
164,77040.2780646658,1653.52384290368
164.1,77149.6167710812,1652.88876607622
164.2,77263.9161513712,1652.25533961821
164.3,77380.6099973597,1651.60681081782
164.4,77488.7752006175,1651.0249901727
164.5,77594.6658783404,1650.43316444214
164.6,77700.2713420822,1649.9197955324
164.7,77808.4167499528,1649.44156043102
164.8,77918.3531552255,1649.00952469171
164.9,78025.6878449671,1648.62585042385
165,78129.4067080051,1648.31043569427
165.1,78234.4450519979,1648.03137707645
165.2,78345.4357409376,1647.82510335293
165.3,78454.6565352203,1647.64455226774
165.4,78563.124943244,1647.5162496733
165.5,78676.3450190376,1647.42029489304
165.6,78790.7459380106,1647.35815596442
165.7,78905.4228626868,1647.32838787418
165.8,79018.400642834,1647.32763744174
165.9,79121.7440868487,1647.35176066439
166,79221.5646876827,1647.39658074549
166.1,79321.596650461,1647.45792088843
166.2,79418.0836219293,1647.53160518442
166.3,79517.8693272358,1647.61373948628
166.4,79623.2796676112,1647.70139118689
166.5,79731.4056283392,1647.79268954883
166.6,79845.7556467166,1647.88667385706
166.7,79965.0967189784,1647.98292686065
166.8,80081.6432537713,1648.08153546105
166.9,80195.9999062768,1648.18342264516
167,80308.9577163781,1648.29039246316
167.1,80420.0619292511,1648.40396966548
167.2,80534.0752484563,1648.52411259631
167.3,80648.3967501687,1648.64967692561
167.4,80762.625857856,1648.7799489541
167.5,80877.358831434,1648.91446349204
167.6,80994.8919324436,1649.051733264
167.7,81110.797844198,1649.18987116014
167.8,81223.6023118521,1649.32965938347
167.9,81333.6738370343,1649.4735578831
168,81440.5878503368,1649.61954749006
168.1,81546.5175364214,1649.76483710962
168.2,81655.5442175635,1649.91149680602
168.3,81761.4307593064,1650.06306952663
168.4,81868.4181827348,1650.2196937081
168.5,81978.1494936343,1650.37858830242
168.6,82087.9125109786,1650.53705886437
168.7,82201.3239538887,1650.69729262285
168.8,82314.3757889754,1650.86220160163
168.9,82425.412133129,1651.03030670524
169,82539.5449119295,1651.1965824968
169.1,82651.5273743039,1651.36042575235
169.2,82760.890298185,1651.53368442567
169.3,82872.6291675829,1651.70449718838
169.4,82986.4562711967,1651.83593441168
169.5,83096.0386525092,1651.94301915879
169.6,83205.5383702843,1652.10285998185
169.7,83316.2565535974,1652.29964541938
169.8,83425.1606250885,1652.47385273158
169.9,83536.4892509867,1652.63912894803
170,83644.7485059266,1652.80905061461
170.1,83743.7663161902,1653.01224403906
170.2,83848.1753513108,1653.24109344492
170.3,83958.9302151494,1653.42242434118
170.4,84057.709617481,1653.56718666267
170.5,84165.6515335535,1653.73992305588
170.6,84273.4071099745,1653.91785824306
170.7,84381.73484605,1654.09266027262
170.8,84494.2630086947,1654.27705148295
170.9,84607.8184484167,1654.46561015869
171,84714.9794618521,1654.64728857388
171.1,84830.9151256314,1654.83298286357
171.2,84942.3890860155,1655.02130154702
171.3,85052.0925756898,1655.20409652829
171.4,85161.7992338728,1655.38703572975
171.5,85269.2980463466,1655.56683603611
171.6,85372.3891361211,1655.73995462286
171.7,85476.8545083943,1655.91596434101
171.8,85580.5198020918,1656.09528032738
171.9,85680.6235064357,1656.26919064971
172,85783.0798801222,1656.44402087534
172.1,85887.8768377028,1656.62611024333
172.2,85994.6977097895,1656.80882451843
